player1,character1,player2,character2,duel,r1_p1,r2_p1,r3_p1,r4_p1,r5_p1,r1_p2,r2_p2,r3_p2,r4_p2,r5_p2,video,event,playlist,brackets,platform,game,version,region,duel_type,p1_team,p2_team,season,stage
wylde,Nightmare,raynarrok,Setsuka,1,LB,W,LB,W,LB,W,LB,W,LY,W,https://youtu.be/Rm77d1E42fQ,SSLT 1,https://www.youtube.com/embed/videoseries?list=PL90QAKwVH1t6ZiRWzJXVsK5VHshUWUXNN,https://challonge.com/mgqcaxzc,PC,Soul Calibur VI,2.31,SAS,FT2,,,S1,
wylde,Nightmare,raynarrok,Setsuka,1,W,W,W,0,0,LY,LY,LB,0,0,https://youtu.be/Rm77d1E42fQ,SSLT 1,https://www.youtube.com/embed/videoseries?list=PL90QAKwVH1t6ZiRWzJXVsK5VHshUWUXNN,https://challonge.com/mgqcaxzc,PC,Soul Calibur VI,2.31,SAS,FT2,,,S1,
raynarrok,Setsuka,wylde,Nightmare,1,LY,W,PL,LY,0,W,LY,PW,W,0,https://youtu.be/Rm77d1E42fQ,SSLT 1,https://www.youtube.com/embed/videoseries?list=PL90QAKwVH1t6ZiRWzJXVsK5VHshUWUXNN,https://challonge.com/mgqcaxzc,PC,Soul Calibur VI,2.31,SAS,FT2,,,S1,
Kovas,Ivy,wylde,Nightmare,2,LB,W,LB,LB,0,W,LY,W,W,0,https://youtu.be/C2mgUuDnLaI,SSLT 1,https://www.youtube.com/embed/videoseries?list=PL90QAKwVH1t6ZiRWzJXVsK5VHshUWUXNN,https://challonge.com/mgqcaxzc,PC,Soul Calibur VI,2.31,SAS,FT3,,,S1,
Kovas,Ivy,wylde,Nightmare,2,LB,LB,LB,0,0,W,W,W,0,0,https://youtu.be/C2mgUuDnLaI,SSLT 1,https://www.youtube.com/embed/videoseries?list=PL90QAKwVH1t6ZiRWzJXVsK5VHshUWUXNN,https://challonge.com/mgqcaxzc,PC,Soul Calibur VI,2.31,SAS,FT3,,,S1,
Kovas,Setsuka,wylde,Nightmare,2,LY,LB,LB,0,0,W,W,W,0,0,https://youtu.be/C2mgUuDnLaI,SSLT 1,https://www.youtube.com/embed/videoseries?list=PL90QAKwVH1t6ZiRWzJXVsK5VHshUWUXNN,https://challonge.com/mgqcaxzc,PC,Soul Calibur VI,2.31,SAS,FT3,,,S1,
raynarrok,Setsuka,Kovas,Ivy,3,W,LB,W,LB,W,LB,W,LB,W,LY,https://youtu.be/o4nlARFmXcA,SSLT 1,https://www.youtube.com/embed/videoseries?list=PL90QAKwVH1t6ZiRWzJXVsK5VHshUWUXNN,https://challonge.com/mgqcaxzc,PC,Soul Calibur VI,2.31,SAS,FT3,,,S1,
Kovas,Ivy,raynarrok,Setsuka,3,W,LY,LB,W,LB,LB,W,W,LB,W,https://youtu.be/o4nlARFmXcA,SSLT 1,https://www.youtube.com/embed/videoseries?list=PL90QAKwVH1t6ZiRWzJXVsK5VHshUWUXNN,https://challonge.com/mgqcaxzc,PC,Soul Calibur VI,2.31,SAS,FT3,,,S1,
Kovas,Ivy,raynarrok,Setsuka,3,LY,LY,LY,0,0,W,W,W,0,0,https://youtu.be/o4nlARFmXcA,SSLT 1,https://www.youtube.com/embed/videoseries?list=PL90QAKwVH1t6ZiRWzJXVsK5VHshUWUXNN,https://challonge.com/mgqcaxzc,PC,Soul Calibur VI,2.31,SAS,FT3,,,S1,
wylde,Nightmare,raynarrok,Setsuka,4,LB,W,LB,LY,0,W,LB,W,W,0,https://youtu.be/QrzOcS2Fseg,SSLT 1,https://www.youtube.com/embed/videoseries?list=PL90QAKwVH1t6ZiRWzJXVsK5VHshUWUXNN,https://challonge.com/mgqcaxzc,PC,Soul Calibur VI,2.31,SAS,FT3,,,S1,
